variant,seed,TP,TN,FP,FN,Precision,Recall,F1,Threshold
no_geom,42,153638,153628,20,10,0.9999,0.9999,0.9999,0.9628
no_geom,123,153463,153463,185,185,0.9988,0.9988,0.9988,0.9305
no_geom,2026,152681,152686,962,967,0.9937,0.9937,0.9937,0.9074
no_geom,31337,153516,153533,115,132,0.9993,0.9991,0.9992,0.9290
gam_only,7,104733,104734,48914,48915,0.6816,0.6816,0.6816,0.9952
gam_only,42,111995,111994,41654,41653,0.7289,0.7289,0.7289,0.9758
gam_only,123,110616,110617,43031,43032,0.7199,0.7199,0.7199,0.9959
gam_only,2026,120206,120206,33442,33442,0.7823,0.7823,0.7823,0.9540
gam_only,31337,113382,113382,40266,40266,0.7379,0.7379,0.7379,0.9928
fuse_only,7,136213,136213,17435,17435,0.8865,0.8865,0.8865,0.9865
fuse_only,42,131142,131144,22504,22506,0.8535,0.8535,0.8535,0.9902
fuse_only,123,130353,130351,23297,23295,0.8484,0.8484,0.8484,0.9880
fuse_only,2026,129511,129511,24137,24137,0.8429,0.8429,0.8429,0.9915
fuse_only,31337,134102,134102,19546,19546,0.8728,0.8728,0.8728,0.9863
with_geom,7,125281,125280,28368,28367,0.8154,0.8154,0.8154,0.9841
with_geom,42,125916,125916,27732,27732,0.8195,0.8195,0.8195,0.9704
with_geom,123,121563,121563,32085,32085,0.7912,0.7912,0.7912,0.9686
with_geom,2026,116681,116681,36967,36967,0.7594,0.7594,0.7594,0.9847
with_geom,31337,123904,123903,29745,29744,0.8064,0.8064,0.8064,0.9744
