n_enroll,m_probe,eer_mean,eer_std
1,1,0.11681818181818182,0.034275259130016084
1,3,0.0740909090909091,0.03068097641942947
1,5,0.045454545454545435,0.022818000723656615
1,10,0.04454545454545454,0.025250808022420277
3,1,0.10272727272727274,0.052684151646493683
3,3,0.03818181818181817,0.035425395942543125
3,5,0.019090909090909082,0.02015436297945032
3,10,0.01045454545454545,0.0153875553452825
5,1,0.06545454545454546,0.02436804573396403
5,3,0.018181818181818177,0.016325713632789056
5,5,0.009545454545454543,0.012481391107041795
5,10,0.008181818181818177,0.015252692486875004
10,1,0.0759090909090909,0.035865911899234305
10,3,0.019999999999999993,0.021770781845141893
10,5,0.009090909090909087,0.017068166686835074
10,10,0.008636363636363633,0.013205308223939949
