n_enroll,m_probe,eer_mean,eer_std
1,1,0.07181818181818181,0.02774589538551248
1,3,0.051363636363636354,0.033420684444821463
1,5,0.04499999999999998,0.005821022034029862
1,10,0.021818181818181813,0.01952959187176439
3,1,0.0740909090909091,0.04132615684611167
3,3,0.01,0.007413412013772769
3,5,0.019545454545454536,0.02342563404859113
3,10,0.0013636363636363635,0.001818181818181818
5,1,0.05681818181818181,0.021416761798890464
5,3,0.01999999999999999,0.019466011913967133
5,5,0.016363636363636355,0.018033485840797604
5,10,0.011363636363636359,0.02047978241103419
10,1,0.04363636363636361,0.004635472285084348
10,3,0.04045454545454545,0.03565792483173671
10,5,0.01681818181818181,0.01915573409609588
10,10,0.00045454545454545455,0.0009090909090909091
