n_enroll,m_probe,eer_mean,eer_std
1,1,0.08454545454545453,0.035744733184250005
1,3,0.03772727272727271,0.01832895013968722
1,5,0.034545454545454525,0.014039495646800449
1,10,0.03499999999999999,0.028480818541491894
3,1,0.06863636363636363,0.04012892446244227
3,3,0.019545454545454536,0.02342563404859113
3,5,0.006818181818181815,0.010365231137264884
3,10,0.0018181818181818182,0.002650432679475136
5,1,0.05454545454545454,0.030525697073419674
5,3,0.0018181818181818182,0.0017007533576245187
5,5,0.0036363636363636364,0.0036927447293799817
5,10,0.0009090909090909091,0.0011134044285378082
10,1,0.04863636363636364,0.026644274345005183
10,3,0.015454545454545447,0.013742014961664512
10,5,0.008181818181818177,0.014200453956193907
10,10,0.0,0.0
