n_enroll,m_probe,eer_mean,eer_std
1,1,0.07727272727272726,0.05160642537994534
1,3,0.05227272727272727,0.029069594464217252
1,5,0.037727272727272713,0.020958439787997277
1,10,0.031818181818181815,0.02630872023361415
3,1,0.05318181818181818,0.0267217062849074
3,3,0.024545454545454537,0.01780286911596921
3,5,0.02318181818181817,0.026791203687802488
3,10,0.023181818181818182,0.030369623797254663
5,1,0.05409090909090909,0.03150495172938811
5,3,0.021818181818181803,0.018553028756325946
5,5,0.009090909090909085,0.014083575804390598
5,10,0.006818181818181815,0.01363636363636363
10,1,0.03772727272727271,0.007413412013772769
10,3,0.026818181818181804,0.02233294272097862
10,5,0.022727272727272717,0.0215130173930895
10,10,0.0022727272727272726,0.003520893951097652
