n_enroll,m_probe,eer_mean,eer_std
1,1,0.07999999999999999,0.04384420200649999
1,3,0.061818181818181814,0.024197875734920316
1,5,0.046363636363636336,0.007413412013772767
1,10,0.04136363636363636,0.041020051537012645
3,1,0.04999999999999999,0.022772681908864285
3,3,0.02318181818181817,0.018147695252433746
3,5,0.028636363636363626,0.038478286245578745
3,10,0.030909090909090903,0.03826290091951811
5,1,0.05045454545454544,0.01751032753114385
5,3,0.026818181818181807,0.020092760095727576
5,5,0.020454545454545454,0.025308019831045553
5,10,0.03136363636363636,0.044406089970253866
10,1,0.034090909090909075,0.017663053843386765
10,3,0.03636363636363635,0.020780235364840832
10,5,0.015454545454545448,0.016351005226004488
10,10,0.009999999999999997,0.017756386349658728
