n_enroll,m_probe,eer_mean,eer_std
1,1,0.08227272727272728,0.040868666896343685
1,3,0.04272727272727272,0.026945000609598067
1,5,0.030909090909090903,0.025332499623805047
1,10,0.025,0.028567738840855762
3,1,0.05681818181818181,0.01840768793756055
3,3,0.007272727272727269,0.01030525822614057
3,5,0.009999999999999997,0.018884161888946344
3,10,0.010909090909090906,0.01745123074586587
5,1,0.042272727272727254,0.006833316535624047
5,3,0.014545454545454539,0.015653795779747775
5,5,0.012272727272727268,0.02030755263971697
5,10,0.0018181818181818182,0.002650432679475136
10,1,0.04136363636363636,0.024155145919248045
10,3,0.014090909090909081,0.01628770260651719
10,5,0.0013636363636363635,0.001818181818181818
10,10,0.0018181818181818182,0.0036363636363636364
