n_enroll,m_probe,eer,lat_enroll_s,lat_probe_s
1,1,0.0931818181818182,0.9357,1.8632
1,3,0.015909090909090907,0.953,6.3929
1,5,0.05454545454545452,0.947,9.4486
1,10,0.006818181818181818,1.3435,19.6821
3,1,0.05227272727272725,2.7798,2.3261
3,3,0.04772727272727271,3.2643,5.6228
3,5,0.05909090909090907,2.9275,9.9874
3,10,0.0,3.0853,20.2068
5,1,0.06590909090909089,4.9654,2.4309
5,3,0.03636363636363634,4.6732,6.207
5,5,0.0318181818181818,5.7391,10.3781
5,10,0.05454545454545452,4.6343,20.3002
10,1,0.045454545454545435,9.762,2.1621
10,3,0.006818181818181818,9.5323,6.1353
10,5,0.006818181818181818,10.027,9.8119
10,10,0.0022727272727272726,9.5783,20.3029
