n_enroll,m_probe,eer_mean,eer_std
1,1,0.12749999999999997,0.04901351222025707
1,3,0.08022727272727273,0.04315848651977599
1,5,0.07318181818181817,0.049059333279389175
1,10,0.08727272727272727,0.05453787826171143
3,1,0.08318181818181818,0.0407978284951216
3,3,0.04772727272727273,0.041659779045053094
3,5,0.04,0.04265467720664764
3,10,0.022499999999999992,0.026649120432665516
5,1,0.08318181818181818,0.030274228736994032
5,3,0.02659090909090909,0.026388115594488722
5,5,0.017727272727272723,0.02447380113813055
5,10,0.02045454545454544,0.019968984214989802
10,1,0.04499999999999999,0.025160640914723732
10,3,0.025454545454545445,0.026983312872101508
10,5,0.020681818181818176,0.025255921488790186
10,10,0.012045454545454541,0.017576573909986636
