n_enroll,m_probe,eer_mean,eer_std
1,1,0.11840909090909091,0.0390016157749631
1,3,0.07818181818181819,0.0191557340960959
1,5,0.07613636363636364,0.043351937625298466
1,10,0.08522727272727273,0.05372729195508039
3,1,0.08795454545454547,0.03784005595543886
3,3,0.029545454545454534,0.023177361425421743
3,5,0.02954545454545454,0.030795244883553313
3,10,0.02227272727272727,0.019911996467099555
5,1,0.07318181818181817,0.04781161379019894
5,3,0.02522727272727272,0.027526283457665248
5,5,0.017499999999999998,0.03194859636850038
5,10,0.013863636363636364,0.025540641733623085
10,1,0.07090909090909091,0.028852001950106097
10,3,0.013181818181818178,0.01943945889122099
10,5,0.010454545454545449,0.015980359846588122
10,10,0.0047727272727272705,0.010778096092163063
