n_enroll,m_probe,eer_mean,eer_std
1,1,0.12363636363636366,0.035416646410624565
1,3,0.08568181818181818,0.04451355536878905
1,5,0.0634090909090909,0.024718455981628445
1,10,0.0634090909090909,0.019850942480279684
3,1,0.08636363636363635,0.04483671016602798
3,3,0.03909090909090908,0.026964163545388893
3,5,0.024090909090909086,0.025045413298101657
3,10,0.020227272727272722,0.02859394405050895
5,1,0.09727272727272726,0.04149579287646255
5,3,0.03454545454545453,0.04361978851866687
5,5,0.01931818181818181,0.028336270306376476
5,10,0.00977272727272727,0.014411671693170619
10,1,0.052500000000000005,0.03073564302346896
10,3,0.02318181818181817,0.01887321772002426
10,5,0.019999999999999993,0.02131522561398791
10,10,0.012499999999999994,0.014525910164795259
