n_enroll,m_probe,eer_mean,eer_std
1,1,0.1009090909090909,0.031049147923523757
1,3,0.062499999999999986,0.030377276468107457
1,5,0.06,0.05153831921112133
1,10,0.06727272727272726,0.045999011847093964
3,1,0.07045454545454546,0.033355708743558796
3,3,0.04818181818181817,0.029733666257138712
3,5,0.024999999999999988,0.020277007293814046
3,10,0.026363636363636356,0.02752159182403746
5,1,0.04568181818181817,0.02108743113957023
5,3,0.02704545454545454,0.02911309523306629
5,5,0.017499999999999995,0.016104321580051692
5,10,0.014999999999999994,0.015752475864694044
10,1,0.04681818181818182,0.032047872249222405
10,3,0.024772727272727262,0.019562624593641192
10,5,0.018181818181818174,0.021027333647673403
10,10,0.014545454545454539,0.017344349116671726
