n_enroll,m_probe,eer_mean,eer_std
1,1,0.11636363636363636,0.042879323264673426
1,3,0.08681818181818182,0.03921755383658726
1,5,0.08727272727272728,0.04740366481630432
1,10,0.10681818181818184,0.04724868269622895
3,1,0.07068181818181818,0.027072179309431003
3,3,0.05386363636363636,0.03377199314019173
3,5,0.045909090909090906,0.029872317819359565
3,10,0.04295454545454545,0.03539111458735847
5,1,0.0734090909090909,0.03966609081231196
5,3,0.039545454545454536,0.028317123867586405
5,5,0.038636363636363635,0.039795448055655984
5,10,0.02999999999999999,0.027231028728636652
10,1,0.055909090909090894,0.029671061673395623
10,3,0.036590909090909084,0.028248637793530554
10,5,0.025909090909090892,0.020735444959921887
10,10,0.03318181818181818,0.04306443375391641
