n_enroll,m_probe,eer_mean,eer_std
1,1,0.11045454545454544,0.029844639038508123
1,3,0.08886363636363637,0.04165295917776386
1,5,0.07204545454545455,0.04522727272727273
1,10,0.05795454545454546,0.030172541016708535
3,1,0.07136363636363635,0.03788303006548115
3,3,0.020909090909090898,0.019090909090909082
3,5,0.012499999999999997,0.014911931547567493
3,10,0.014545454545454537,0.016458060900210604
5,1,0.06886363636363635,0.038476272606880836
5,3,0.027499999999999986,0.022873393905591056
5,5,0.02022727272727272,0.021714954667195294
5,10,0.014090909090909085,0.01724279703490059
10,1,0.06545454545454545,0.03241007903631981
10,3,0.013409090909090903,0.014814625897938413
10,5,0.024318181818181808,0.02180041890567265
10,10,0.0009090909090909091,0.0020829889522526544
