n_enroll,m_probe,eer,lat_enroll_s,lat_probe_s
1,1,0.14545454545454545,1.3476,2.7278
1,3,0.1318181818181818,1.3136,8.4664
1,5,0.12954545454545455,1.3375,13.5281
1,10,0.09090909090909093,1.3287,25.9397
3,1,0.1386363636363636,4.3719,2.9498
3,3,0.08181818181818183,3.988,8.6348
3,5,0.04090909090909089,4.0046,13.8747
3,10,0.1,4.6493,25.4354
5,1,0.045454545454545435,6.4863,2.8768
5,3,0.03636363636363634,7.0876,8.5841
5,5,0.03636363636363634,6.7259,13.8896
5,10,0.015909090909090907,7.4213,25.2728
10,1,0.04318181818181816,12.7971,2.6624
10,3,0.034090909090909075,12.5759,8.4596
10,5,0.038636363636363615,12.9722,13.9084
10,10,0.04318181818181816,13.0123,25.8308
