config,alignment,loss,repr_mode,theta_deg,eer,delta_eer
A0_softmax,A0,softmax,raw_ply,0,0.08106060606060606,0.0
A0_softmax,A0,softmax,raw_ply,30,0.13636363636363635,0.0553030303030303
A0_softmax,A0,softmax,raw_ply,60,0.16875,0.08768939393939396
A0_softmax,A0,softmax,raw_ply,90,0.3846590909090909,0.30359848484848484
A0_softmax,A0,softmax,raw_ply,180,0.4174242424242424,0.33636363636363636
A0_arcface,A0,arcface,raw_ply,0,0.12140151515151515,0.0
A0_arcface,A0,arcface,raw_ply,30,0.11022727272727273,-0.01117424242424242
A0_arcface,A0,arcface,raw_ply,60,0.20303030303030303,0.08162878787878788
A0_arcface,A0,arcface,raw_ply,90,0.3770833333333333,0.2556818181818182
A0_arcface,A0,arcface,raw_ply,180,0.3899621212121212,0.26856060606060606
A1_softmax,A1,softmax,align_center,0,0.014583333333333334,0.0
A1_softmax,A1,softmax,align_center,30,0.01799242424242424,0.0034090909090909068
A1_softmax,A1,softmax,align_center,60,0.09943181818181818,0.08484848484848484
A1_softmax,A1,softmax,align_center,90,0.31287878787878787,0.29829545454545453
A1_softmax,A1,softmax,align_center,180,0.33162878787878786,0.3170454545454545
A1_arcface,A1,arcface,align_center,0,0.011363636363636364,0.0
A1_arcface,A1,arcface,align_center,30,0.0,-0.011363636363636364
A1_arcface,A1,arcface,align_center,60,0.0715909090909091,0.060227272727272727
A1_arcface,A1,arcface,align_center,90,0.3859848484848485,0.37462121212121213
A1_arcface,A1,arcface,align_center,180,0.41382575757575757,0.4024621212121212
A2_softmax,A2,softmax,align_centerscale,0,0.0001893939393939394,0.0
A2_softmax,A2,softmax,align_centerscale,30,0.0011363636363636363,0.0009469696969696969
A2_softmax,A2,softmax,align_centerscale,60,0.04071969696969697,0.04053030303030303
A2_softmax,A2,softmax,align_centerscale,90,0.3534090909090909,0.35321969696969696
A2_softmax,A2,softmax,align_centerscale,180,0.41060606060606064,0.4104166666666667
A2_arcface,A2,arcface,align_centerscale,0,0.0034090909090909094,0.0
A2_arcface,A2,arcface,align_centerscale,30,0.0,-0.0034090909090909094
A2_arcface,A2,arcface,align_centerscale,60,0.037500000000000006,0.034090909090909095
A2_arcface,A2,arcface,align_centerscale,90,0.3643939393939394,0.36098484848484846
A2_arcface,A2,arcface,align_centerscale,180,0.33693181818181817,0.33352272727272725
A3_softmax,A3,softmax,canonical_npy,0,0.007575757575757576,0.0
A3_softmax,A3,softmax,canonical_npy,30,0.004545454545454545,-0.0030303030303030307
A3_softmax,A3,softmax,canonical_npy,60,0.008143939393939394,0.0005681818181818184
A3_softmax,A3,softmax,canonical_npy,90,0.4035984848484848,0.39602272727272725
A3_softmax,A3,softmax,canonical_npy,180,0.007575757575757576,0.0
A3_arcface,A3,arcface,canonical_npy,0,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,30,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,60,0.0,0.0
A3_arcface,A3,arcface,canonical_npy,90,0.4179924242424242,0.4179924242424242
A3_arcface,A3,arcface,canonical_npy,180,0.0,0.0
A4_softmax,A4,softmax,align_pca_robust,0,0.007575757575757576,0.0
A4_softmax,A4,softmax,align_pca_robust,30,0.008333333333333333,0.0007575757575757572
A4_softmax,A4,softmax,align_pca_robust,60,0.007954545454545454,0.00037878787878787776
A4_softmax,A4,softmax,align_pca_robust,90,0.004924242424242425,-0.0026515151515151512
A4_softmax,A4,softmax,align_pca_robust,180,0.004356060606060606,-0.0032196969696969696
A4_arcface,A4,arcface,align_pca_robust,0,0.007386363636363637,0.0
A4_arcface,A4,arcface,align_pca_robust,30,0.005681818181818182,-0.0017045454545454551
A4_arcface,A4,arcface,align_pca_robust,60,0.007575757575757576,0.00018939393939393888
A4_arcface,A4,arcface,align_pca_robust,90,0.006818181818181819,-0.0005681818181818184
A4_arcface,A4,arcface,align_pca_robust,180,0.006818181818181819,-0.0005681818181818184
A5_softmax,A5,softmax,align_anatomical,0,0.15454545454545454,0.0
A5_softmax,A5,softmax,align_anatomical,30,0.15738636363636366,0.002840909090909116
A5_softmax,A5,softmax,align_anatomical,60,0.1553030303030303,0.0007575757575757625
A5_softmax,A5,softmax,align_anatomical,90,0.15359848484848485,-0.0009469696969696961
A5_softmax,A5,softmax,align_anatomical,180,0.15416666666666667,-0.00037878787878786735
A5_arcface,A5,arcface,align_anatomical,0,0.1390151515151515,0.0
A5_arcface,A5,arcface,align_anatomical,30,0.14147727272727273,0.002462121212121221
A5_arcface,A5,arcface,align_anatomical,60,0.13768939393939394,-0.0013257575757575635
A5_arcface,A5,arcface,align_anatomical,90,0.13617424242424242,-0.0028409090909090884
A5_arcface,A5,arcface,align_anatomical,180,0.13920454545454544,0.00018939393939393367
