config,N,M,eer_mean,eer_std
A0_softmax,1,1,0.18727272727272729,0.0246108369748448
A0_softmax,1,3,0.1590909090909091,0.048247525236638354
A0_softmax,1,5,0.15484848484848485,0.04085181175194043
A0_softmax,1,10,0.16333333333333333,0.05465813277473509
A0_softmax,3,1,0.14363636363636362,0.039117914092375576
A0_softmax,3,3,0.11575757575757577,0.05169842621131976
A0_softmax,3,5,0.11757575757575758,0.042657368132770365
A0_softmax,3,10,0.10515151515151513,0.031790752968250645
A0_softmax,5,1,0.12545454545454546,0.04485872119053686
A0_softmax,5,3,0.12000000000000002,0.030610560725271237
A0_softmax,5,5,0.11848484848484848,0.031657603458716044
A0_softmax,5,10,0.10393939393939393,0.029684598536384135
A0_softmax,10,1,0.13272727272727275,0.045146430464154404
A0_softmax,10,3,0.10848484848484849,0.04225724708413311
A0_softmax,10,5,0.11515151515151516,0.03554637163300649
A0_softmax,10,10,0.09303030303030303,0.03509922966198851
A0_arcface,1,1,0.20484848484848484,0.03486034053930153
A0_arcface,1,3,0.19212121212121208,0.022501912988772105
A0_arcface,1,5,0.21181818181818182,0.02186022884469266
A0_arcface,1,10,0.2209090909090909,0.03080493443115278
A0_arcface,3,1,0.1790909090909091,0.034754814822578174
A0_arcface,3,3,0.14757575757575755,0.031178269374283567
A0_arcface,3,5,0.15393939393939393,0.02723229325898299
A0_arcface,3,10,0.16454545454545452,0.02550860061301206
A0_arcface,5,1,0.17848484848484847,0.026701079723528122
A0_arcface,5,3,0.1584848484848485,0.02768377114074242
A0_arcface,5,5,0.17636363636363636,0.024404759505091987
A0_arcface,5,10,0.15787878787878787,0.012977341275978091
A0_arcface,10,1,0.19454545454545452,0.019083692719798553
A0_arcface,10,3,0.15636363636363632,0.036545002258621416
A0_arcface,10,5,0.15484848484848485,0.03735271043770663
A0_arcface,10,10,0.1524242424242424,0.029404871444141084
A1_softmax,1,1,0.05909090909090906,0.01706144031546575
A1_softmax,1,3,0.021212121212121203,0.006569540420811753
A1_softmax,1,5,0.030909090909090893,0.0073979124943840575
A1_softmax,1,10,0.030909090909090893,0.013538368426477982
A1_softmax,3,1,0.05878787878787876,0.002226808857075617
A1_softmax,3,3,0.027272727272727254,0.017115177268415674
A1_softmax,3,5,0.03636363636363635,0.012676667068698107
A1_softmax,3,10,0.03424242424242423,0.011914911061416662
A1_softmax,5,1,0.06030303030303027,0.004829508318336127
A1_softmax,5,3,0.01969696969696969,0.012309149097933266
A1_softmax,5,5,0.04575757575757573,0.020893714152652353
