metric,key,N,M,alignment,repr_mode,softmax_mean,arcface_mean,improve_arcface,arcface_better,t_stat,p_value,significant_p05
EER N5M5,eer,5,5,A0,raw_ply,0.11848484848484848,0.17636363636363636,-0.05787878787878786,False,3.049274618285286,0.03805521807131622,True
EER N5M5,eer,5,5,A1,align_center,0.04575757575757573,0.014545454545454539,0.0312121212121212,True,-3.489020562638962,0.0251451806695751,True
EER N5M5,eer,5,5,A2,align_centerscale,0.0006060606060606061,0.0,0.0006060606060606061,True,-1.0,0.373900966300059,False
EER N5M5,eer,5,5,A3,canonical_npy,0.00030303030303030303,0.0,0.00030303030303030303,True,-1.0,0.373900966300059,False
EER N5M5,eer,5,5,A4,align_pca_robust,0.01333333333333333,0.005151515151515148,0.008181818181818179,True,-1.2178730020135806,0.2901978103177872,False
EER N5M5,eer,5,5,A5,align_anatomical,0.004848484848484846,0.005757575757575755,-0.0009090909090909092,False,0.1749635530559415,0.8696075442200598,False
d' N5M5,dprime,5,5,A0,raw_ply,1.8878409925257025,1.7961703970408238,-0.0916705954848784,False,-0.6112550566924281,0.5740623487672076,False
d' N5M5,dprime,5,5,A1,align_center,3.284329127959544,6.625500651896671,3.3411715239371262,True,13.783160046082395,0.00016057109214955324,True
d' N5M5,dprime,5,5,A2,align_centerscale,4.201384903684408,9.485893797848515,5.284508894164109,True,9.770114876206792,0.0006149133531429861,True
d' N5M5,dprime,5,5,A3,canonical_npy,4.08763845325592,8.870373200984465,4.7827347477285445,True,20.212660518218012,3.536743994333184e-05,True
d' N5M5,dprime,5,5,A4,align_pca_robust,4.0159412053339105,8.019907660010277,4.003966454676368,True,25.061430742681228,1.5049844877663993e-05,True
d' N5M5,dprime,5,5,A5,align_anatomical,3.9255289231516137,8.114549881288035,4.189020958136422,True,6.468998821296742,0.0029417148415736864,True
EER N1M1,eer,1,1,A0,raw_ply,0.18727272727272729,0.20484848484848484,-0.017575757575757568,False,1.5879984667608413,0.18748164693092972,False
EER N1M1,eer,1,1,A1,align_center,0.05909090909090906,0.028484848484848474,0.03060606060606059,True,-1.8071767002870827,0.14502260517550766,False
EER N1M1,eer,1,1,A2,align_centerscale,0.006666666666666664,0.0,0.006666666666666664,True,-1.6218615177038689,0.18015182755781528,False
EER N1M1,eer,1,1,A3,canonical_npy,0.007878787878787874,0.007575757575757571,0.00030303030303030314,True,-0.34299717028501786,0.7488684500235263,False
EER N1M1,eer,1,1,A4,align_pca_robust,0.02999999999999998,0.016969696969696954,0.013030303030303027,True,-1.6471590072923974,0.17487071476321336,False
EER N1M1,eer,1,1,A5,align_anatomical,0.009696969696969695,0.01575757575757575,-0.006060606060606058,False,1.2649110640673522,0.2745766290948479,False
